REGION,FUEL,TIMESLICE,YEAR,VALUE
Globe,C1_F_CLS,ID,2010,0.47
Globe,C1_F_CLS,ID,2011,0.47
Globe,C1_F_CLS,ID,2012,0.47
Globe,C1_F_CLS,ID,2013,0.47
Globe,C1_F_CLS,ID,2014,0.47
Globe,C1_F_CLS,ID,2015,0.47
Globe,C1_F_CLS,ID,2016,0.47
Globe,C1_F_CLS,ID,2017,0.47
Globe,C1_F_CLS,ID,2018,0.47
Globe,C1_F_CLS,ID,2019,0.47
Globe,C1_F_CLS,ID,2020,0.47
Globe,C1_F_CLS,ID,2021,0.47
Globe,C1_F_CLS,ID,2022,0.47
Globe,C1_F_CLS,ID,2023,0.47
Globe,C1_F_CLS,ID,2024,0.47
Globe,C1_F_CLS,ID,2025,0.47
Globe,C1_F_CLS,ID,2026,0.47
Globe,C1_F_CLS,ID,2027,0.47
Globe,C1_F_CLS,ID,2028,0.47
Globe,C1_F_CLS,ID,2029,0.47
Globe,C1_F_CLS,ID,2030,0.47
Globe,C1_F_CLS,ID,2031,0.47
Globe,C1_F_CLS,ID,2032,0.47
Globe,C1_F_CLS,ID,2033,0.47
Globe,C1_F_CLS,ID,2034,0.47
Globe,C1_F_CLS,ID,2035,0.47
Globe,C1_F_CLS,ID,2036,0.47
Globe,C1_F_CLS,ID,2037,0.47
Globe,C1_F_CLS,ID,2038,0.47
Globe,C1_F_CLS,ID,2039,0.47
Globe,C1_F_CLS,ID,2040,0.47
Globe,C1_F_CLS,ID,2041,0.47
Globe,C1_F_CLS,ID,2042,0.47
Globe,C1_F_CLS,ID,2043,0.47
Globe,C1_F_CLS,ID,2044,0.47
Globe,C1_F_CLS,ID,2045,0.47
Globe,C1_F_CLS,ID,2046,0.47
Globe,C1_F_CLS,ID,2047,0.47
Globe,C1_F_CLS,ID,2048,0.47
Globe,C1_F_CLS,ID,2049,0.47
Globe,C1_F_CLS,ID,2050,0.47
Globe,C1_F_CLS,ID,2051,0.47
Globe,C1_F_CLS,ID,2052,0.47
Globe,C1_F_CLS,ID,2053,0.47
Globe,C1_F_CLS,ID,2054,0.47
Globe,C1_F_CLS,ID,2055,0.47
Globe,C1_F_CLS,ID,2056,0.47
Globe,C1_F_CLS,ID,2057,0.47
Globe,C1_F_CLS,ID,2058,0.47
Globe,C1_F_CLS,ID,2059,0.47
Globe,C1_F_CLS,ID,2060,0.47
Globe,C1_F_CLS,IN,2010,0.4
Globe,C1_F_CLS,IN,2011,0.4
Globe,C1_F_CLS,IN,2012,0.4
Globe,C1_F_CLS,IN,2013,0.4
Globe,C1_F_CLS,IN,2014,0.4
Globe,C1_F_CLS,IN,2015,0.4
Globe,C1_F_CLS,IN,2016,0.4
Globe,C1_F_CLS,IN,2017,0.4
Globe,C1_F_CLS,IN,2018,0.4
Globe,C1_F_CLS,IN,2019,0.4
Globe,C1_F_CLS,IN,2020,0.4
Globe,C1_F_CLS,IN,2021,0.4
Globe,C1_F_CLS,IN,2022,0.4
Globe,C1_F_CLS,IN,2023,0.4
Globe,C1_F_CLS,IN,2024,0.4
Globe,C1_F_CLS,IN,2025,0.4
Globe,C1_F_CLS,IN,2026,0.4
Globe,C1_F_CLS,IN,2027,0.4
Globe,C1_F_CLS,IN,2028,0.4
Globe,C1_F_CLS,IN,2029,0.4
Globe,C1_F_CLS,IN,2030,0.4
Globe,C1_F_CLS,IN,2031,0.4
Globe,C1_F_CLS,IN,2032,0.4
Globe,C1_F_CLS,IN,2033,0.4
Globe,C1_F_CLS,IN,2034,0.4
Globe,C1_F_CLS,IN,2035,0.4
Globe,C1_F_CLS,IN,2036,0.4
Globe,C1_F_CLS,IN,2037,0.4
Globe,C1_F_CLS,IN,2038,0.4
Globe,C1_F_CLS,IN,2039,0.4
Globe,C1_F_CLS,IN,2040,0.4
Globe,C1_F_CLS,IN,2041,0.4
Globe,C1_F_CLS,IN,2042,0.4
Globe,C1_F_CLS,IN,2043,0.4
Globe,C1_F_CLS,IN,2044,0.4
Globe,C1_F_CLS,IN,2045,0.4
Globe,C1_F_CLS,IN,2046,0.4
Globe,C1_F_CLS,IN,2047,0.4
Globe,C1_F_CLS,IN,2048,0.4
Globe,C1_F_CLS,IN,2049,0.4
Globe,C1_F_CLS,IN,2050,0.4
Globe,C1_F_CLS,IN,2051,0.4
Globe,C1_F_CLS,IN,2052,0.4
Globe,C1_F_CLS,IN,2053,0.4
Globe,C1_F_CLS,IN,2054,0.4
Globe,C1_F_CLS,IN,2055,0.4
Globe,C1_F_CLS,IN,2056,0.4
Globe,C1_F_CLS,IN,2057,0.4
Globe,C1_F_CLS,IN,2058,0.4
Globe,C1_F_CLS,IN,2059,0.4
Globe,C1_F_CLS,IN,2060,0.4
Globe,C1_F_CLS,IP,2010,0.13
Globe,C1_F_CLS,IP,2011,0.13
Globe,C1_F_CLS,IP,2012,0.13
Globe,C1_F_CLS,IP,2013,0.13
Globe,C1_F_CLS,IP,2014,0.13
Globe,C1_F_CLS,IP,2015,0.13
Globe,C1_F_CLS,IP,2016,0.13
Globe,C1_F_CLS,IP,2017,0.13
Globe,C1_F_CLS,IP,2018,0.13
Globe,C1_F_CLS,IP,2019,0.13
Globe,C1_F_CLS,IP,2020,0.13
Globe,C1_F_CLS,IP,2021,0.13
Globe,C1_F_CLS,IP,2022,0.13
Globe,C1_F_CLS,IP,2023,0.13
Globe,C1_F_CLS,IP,2024,0.13
Globe,C1_F_CLS,IP,2025,0.13
Globe,C1_F_CLS,IP,2026,0.13
Globe,C1_F_CLS,IP,2027,0.13
Globe,C1_F_CLS,IP,2028,0.13
Globe,C1_F_CLS,IP,2029,0.13
Globe,C1_F_CLS,IP,2030,0.13
Globe,C1_F_CLS,IP,2031,0.13
Globe,C1_F_CLS,IP,2032,0.13
Globe,C1_F_CLS,IP,2033,0.13
Globe,C1_F_CLS,IP,2034,0.13
Globe,C1_F_CLS,IP,2035,0.13
Globe,C1_F_CLS,IP,2036,0.13
Globe,C1_F_CLS,IP,2037,0.13
Globe,C1_F_CLS,IP,2038,0.13
Globe,C1_F_CLS,IP,2039,0.13
Globe,C1_F_CLS,IP,2040,0.13
Globe,C1_F_CLS,IP,2041,0.13
Globe,C1_F_CLS,IP,2042,0.13
Globe,C1_F_CLS,IP,2043,0.13
Globe,C1_F_CLS,IP,2044,0.13
Globe,C1_F_CLS,IP,2045,0.13
Globe,C1_F_CLS,IP,2046,0.13
Globe,C1_F_CLS,IP,2047,0.13
Globe,C1_F_CLS,IP,2048,0.13
Globe,C1_F_CLS,IP,2049,0.13
Globe,C1_F_CLS,IP,2050,0.13
Globe,C1_F_CLS,IP,2051,0.13
Globe,C1_F_CLS,IP,2052,0.13
Globe,C1_F_CLS,IP,2053,0.13
Globe,C1_F_CLS,IP,2054,0.13
Globe,C1_F_CLS,IP,2055,0.13
Globe,C1_F_CLS,IP,2056,0.13
Globe,C1_F_CLS,IP,2057,0.13
Globe,C1_F_CLS,IP,2058,0.13
Globe,C1_F_CLS,IP,2059,0.13
Globe,C1_F_CLS,IP,2060,0.13
Globe,C1_F_HEA_I,ID,2010,0.4583
Globe,C1_F_HEA_I,ID,2011,0.4583
Globe,C1_F_HEA_I,ID,2012,0.4583
Globe,C1_F_HEA_I,ID,2013,0.4583
Globe,C1_F_HEA_I,ID,2014,0.4583
Globe,C1_F_HEA_I,ID,2015,0.4583
Globe,C1_F_HEA_I,ID,2016,0.4583
Globe,C1_F_HEA_I,ID,2017,0.4583
Globe,C1_F_HEA_I,ID,2018,0.4583
Globe,C1_F_HEA_I,ID,2019,0.4583
Globe,C1_F_HEA_I,ID,2020,0.4583
Globe,C1_F_HEA_I,ID,2021,0.4583
Globe,C1_F_HEA_I,ID,2022,0.4583
Globe,C1_F_HEA_I,ID,2023,0.4583
Globe,C1_F_HEA_I,ID,2024,0.4583
Globe,C1_F_HEA_I,ID,2025,0.4583
Globe,C1_F_HEA_I,ID,2026,0.4583
Globe,C1_F_HEA_I,ID,2027,0.4583
Globe,C1_F_HEA_I,ID,2028,0.4583
Globe,C1_F_HEA_I,ID,2029,0.4583
Globe,C1_F_HEA_I,ID,2030,0.4583
Globe,C1_F_HEA_I,ID,2031,0.4583
Globe,C1_F_HEA_I,ID,2032,0.4583
Globe,C1_F_HEA_I,ID,2033,0.4583
Globe,C1_F_HEA_I,ID,2034,0.4583
Globe,C1_F_HEA_I,ID,2035,0.4583
Globe,C1_F_HEA_I,ID,2036,0.4583
Globe,C1_F_HEA_I,ID,2037,0.4583
Globe,C1_F_HEA_I,ID,2038,0.4583
Globe,C1_F_HEA_I,ID,2039,0.4583
Globe,C1_F_HEA_I,ID,2040,0.4583
Globe,C1_F_HEA_I,ID,2041,0.4583
Globe,C1_F_HEA_I,ID,2042,0.4583
Globe,C1_F_HEA_I,ID,2043,0.4583
Globe,C1_F_HEA_I,ID,2044,0.4583
Globe,C1_F_HEA_I,ID,2045,0.4583
Globe,C1_F_HEA_I,ID,2046,0.4583
Globe,C1_F_HEA_I,ID,2047,0.4583
Globe,C1_F_HEA_I,ID,2048,0.4583
Globe,C1_F_HEA_I,ID,2049,0.4583
Globe,C1_F_HEA_I,ID,2050,0.4583
Globe,C1_F_HEA_I,ID,2051,0.4583
Globe,C1_F_HEA_I,ID,2052,0.4583
Globe,C1_F_HEA_I,ID,2053,0.4583
Globe,C1_F_HEA_I,ID,2054,0.4583
Globe,C1_F_HEA_I,ID,2055,0.4583
Globe,C1_F_HEA_I,ID,2056,0.4583
Globe,C1_F_HEA_I,ID,2057,0.4583
Globe,C1_F_HEA_I,ID,2058,0.4583
Globe,C1_F_HEA_I,ID,2059,0.4583
Globe,C1_F_HEA_I,ID,2060,0.4583
Globe,C1_F_HEA_I,IN,2010,0.4583
Globe,C1_F_HEA_I,IN,2011,0.4583
Globe,C1_F_HEA_I,IN,2012,0.4583
Globe,C1_F_HEA_I,IN,2013,0.4583
Globe,C1_F_HEA_I,IN,2014,0.4583
Globe,C1_F_HEA_I,IN,2015,0.4583
Globe,C1_F_HEA_I,IN,2016,0.4583
Globe,C1_F_HEA_I,IN,2017,0.4583
Globe,C1_F_HEA_I,IN,2018,0.4583
Globe,C1_F_HEA_I,IN,2019,0.4583
Globe,C1_F_HEA_I,IN,2020,0.4583
Globe,C1_F_HEA_I,IN,2021,0.4583
Globe,C1_F_HEA_I,IN,2022,0.4583
Globe,C1_F_HEA_I,IN,2023,0.4583
Globe,C1_F_HEA_I,IN,2024,0.4583
Globe,C1_F_HEA_I,IN,2025,0.4583
Globe,C1_F_HEA_I,IN,2026,0.4583
Globe,C1_F_HEA_I,IN,2027,0.4583
Globe,C1_F_HEA_I,IN,2028,0.4583
Globe,C1_F_HEA_I,IN,2029,0.4583
Globe,C1_F_HEA_I,IN,2030,0.4583
Globe,C1_F_HEA_I,IN,2031,0.4583
Globe,C1_F_HEA_I,IN,2032,0.4583
Globe,C1_F_HEA_I,IN,2033,0.4583
Globe,C1_F_HEA_I,IN,2034,0.4583
Globe,C1_F_HEA_I,IN,2035,0.4583
Globe,C1_F_HEA_I,IN,2036,0.4583
Globe,C1_F_HEA_I,IN,2037,0.4583
Globe,C1_F_HEA_I,IN,2038,0.4583
Globe,C1_F_HEA_I,IN,2039,0.4583
Globe,C1_F_HEA_I,IN,2040,0.4583
Globe,C1_F_HEA_I,IN,2041,0.4583
Globe,C1_F_HEA_I,IN,2042,0.4583
Globe,C1_F_HEA_I,IN,2043,0.4583
Globe,C1_F_HEA_I,IN,2044,0.4583
Globe,C1_F_HEA_I,IN,2045,0.4583
Globe,C1_F_HEA_I,IN,2046,0.4583
Globe,C1_F_HEA_I,IN,2047,0.4583
Globe,C1_F_HEA_I,IN,2048,0.4583
Globe,C1_F_HEA_I,IN,2049,0.4583
Globe,C1_F_HEA_I,IN,2050,0.4583
Globe,C1_F_HEA_I,IN,2051,0.4583
Globe,C1_F_HEA_I,IN,2052,0.4583
Globe,C1_F_HEA_I,IN,2053,0.4583
Globe,C1_F_HEA_I,IN,2054,0.4583
Globe,C1_F_HEA_I,IN,2055,0.4583
Globe,C1_F_HEA_I,IN,2056,0.4583
Globe,C1_F_HEA_I,IN,2057,0.4583
Globe,C1_F_HEA_I,IN,2058,0.4583
Globe,C1_F_HEA_I,IN,2059,0.4583
Globe,C1_F_HEA_I,IN,2060,0.4583
Globe,C1_F_HEA_I,IP,2010,0.0834
Globe,C1_F_HEA_I,IP,2011,0.0834
Globe,C1_F_HEA_I,IP,2012,0.0834
Globe,C1_F_HEA_I,IP,2013,0.0834
Globe,C1_F_HEA_I,IP,2014,0.0834
Globe,C1_F_HEA_I,IP,2015,0.0834
Globe,C1_F_HEA_I,IP,2016,0.0834
Globe,C1_F_HEA_I,IP,2017,0.0834
Globe,C1_F_HEA_I,IP,2018,0.0834
Globe,C1_F_HEA_I,IP,2019,0.0834
Globe,C1_F_HEA_I,IP,2020,0.0834
Globe,C1_F_HEA_I,IP,2021,0.0834
Globe,C1_F_HEA_I,IP,2022,0.0834
Globe,C1_F_HEA_I,IP,2023,0.0834
Globe,C1_F_HEA_I,IP,2024,0.0834
Globe,C1_F_HEA_I,IP,2025,0.0834
Globe,C1_F_HEA_I,IP,2026,0.0834
Globe,C1_F_HEA_I,IP,2027,0.0834
Globe,C1_F_HEA_I,IP,2028,0.0834
Globe,C1_F_HEA_I,IP,2029,0.0834
Globe,C1_F_HEA_I,IP,2030,0.0834
Globe,C1_F_HEA_I,IP,2031,0.0834
Globe,C1_F_HEA_I,IP,2032,0.0834
Globe,C1_F_HEA_I,IP,2033,0.0834
Globe,C1_F_HEA_I,IP,2034,0.0834
Globe,C1_F_HEA_I,IP,2035,0.0834
Globe,C1_F_HEA_I,IP,2036,0.0834
Globe,C1_F_HEA_I,IP,2037,0.0834
Globe,C1_F_HEA_I,IP,2038,0.0834
Globe,C1_F_HEA_I,IP,2039,0.0834
Globe,C1_F_HEA_I,IP,2040,0.0834
Globe,C1_F_HEA_I,IP,2041,0.0834
Globe,C1_F_HEA_I,IP,2042,0.0834
Globe,C1_F_HEA_I,IP,2043,0.0834
Globe,C1_F_HEA_I,IP,2044,0.0834
Globe,C1_F_HEA_I,IP,2045,0.0834
Globe,C1_F_HEA_I,IP,2046,0.0834
Globe,C1_F_HEA_I,IP,2047,0.0834
Globe,C1_F_HEA_I,IP,2048,0.0834
Globe,C1_F_HEA_I,IP,2049,0.0834
Globe,C1_F_HEA_I,IP,2050,0.0834
Globe,C1_F_HEA_I,IP,2051,0.0834
Globe,C1_F_HEA_I,IP,2052,0.0834
Globe,C1_F_HEA_I,IP,2053,0.0834
Globe,C1_F_HEA_I,IP,2054,0.0834
Globe,C1_F_HEA_I,IP,2055,0.0834
Globe,C1_F_HEA_I,IP,2056,0.0834
Globe,C1_F_HEA_I,IP,2057,0.0834
Globe,C1_F_HEA_I,IP,2058,0.0834
Globe,C1_F_HEA_I,IP,2059,0.0834
Globe,C1_F_HEA_I,IP,2060,0.0834
Globe,C1_F_HEA_R,ID,2010,0.4583
Globe,C1_F_HEA_R,ID,2011,0.4583
Globe,C1_F_HEA_R,ID,2012,0.4583
Globe,C1_F_HEA_R,ID,2013,0.4583
Globe,C1_F_HEA_R,ID,2014,0.4583
Globe,C1_F_HEA_R,ID,2015,0.4583
Globe,C1_F_HEA_R,ID,2016,0.4583
Globe,C1_F_HEA_R,ID,2017,0.4583
Globe,C1_F_HEA_R,ID,2018,0.4583
Globe,C1_F_HEA_R,ID,2019,0.4583
Globe,C1_F_HEA_R,ID,2020,0.4583
Globe,C1_F_HEA_R,ID,2021,0.4583
Globe,C1_F_HEA_R,ID,2022,0.4583
Globe,C1_F_HEA_R,ID,2023,0.4583
Globe,C1_F_HEA_R,ID,2024,0.4583
Globe,C1_F_HEA_R,ID,2025,0.4583
Globe,C1_F_HEA_R,ID,2026,0.4583
Globe,C1_F_HEA_R,ID,2027,0.4583
Globe,C1_F_HEA_R,ID,2028,0.4583
Globe,C1_F_HEA_R,ID,2029,0.4583
Globe,C1_F_HEA_R,ID,2030,0.4583
Globe,C1_F_HEA_R,ID,2031,0.4583
Globe,C1_F_HEA_R,ID,2032,0.4583
Globe,C1_F_HEA_R,ID,2033,0.4583
Globe,C1_F_HEA_R,ID,2034,0.4583
Globe,C1_F_HEA_R,ID,2035,0.4583
Globe,C1_F_HEA_R,ID,2036,0.4583
Globe,C1_F_HEA_R,ID,2037,0.4583
Globe,C1_F_HEA_R,ID,2038,0.4583
Globe,C1_F_HEA_R,ID,2039,0.4583
Globe,C1_F_HEA_R,ID,2040,0.4583
Globe,C1_F_HEA_R,ID,2041,0.4583
Globe,C1_F_HEA_R,ID,2042,0.4583
Globe,C1_F_HEA_R,ID,2043,0.4583
Globe,C1_F_HEA_R,ID,2044,0.4583
Globe,C1_F_HEA_R,ID,2045,0.4583
Globe,C1_F_HEA_R,ID,2046,0.4583
Globe,C1_F_HEA_R,ID,2047,0.4583
Globe,C1_F_HEA_R,ID,2048,0.4583
Globe,C1_F_HEA_R,ID,2049,0.4583
Globe,C1_F_HEA_R,ID,2050,0.4583
Globe,C1_F_HEA_R,ID,2051,0.4583
Globe,C1_F_HEA_R,ID,2052,0.4583
Globe,C1_F_HEA_R,ID,2053,0.4583
Globe,C1_F_HEA_R,ID,2054,0.4583
Globe,C1_F_HEA_R,ID,2055,0.4583
Globe,C1_F_HEA_R,ID,2056,0.4583
Globe,C1_F_HEA_R,ID,2057,0.4583
Globe,C1_F_HEA_R,ID,2058,0.4583
Globe,C1_F_HEA_R,ID,2059,0.4583
Globe,C1_F_HEA_R,ID,2060,0.4583
Globe,C1_F_HEA_R,IN,2010,0.4583
Globe,C1_F_HEA_R,IN,2011,0.4583
Globe,C1_F_HEA_R,IN,2012,0.4583
Globe,C1_F_HEA_R,IN,2013,0.4583
Globe,C1_F_HEA_R,IN,2014,0.4583
Globe,C1_F_HEA_R,IN,2015,0.4583
Globe,C1_F_HEA_R,IN,2016,0.4583
Globe,C1_F_HEA_R,IN,2017,0.4583
Globe,C1_F_HEA_R,IN,2018,0.4583
Globe,C1_F_HEA_R,IN,2019,0.4583
Globe,C1_F_HEA_R,IN,2020,0.4583
Globe,C1_F_HEA_R,IN,2021,0.4583
Globe,C1_F_HEA_R,IN,2022,0.4583
Globe,C1_F_HEA_R,IN,2023,0.4583
Globe,C1_F_HEA_R,IN,2024,0.4583
Globe,C1_F_HEA_R,IN,2025,0.4583
Globe,C1_F_HEA_R,IN,2026,0.4583
Globe,C1_F_HEA_R,IN,2027,0.4583
Globe,C1_F_HEA_R,IN,2028,0.4583
Globe,C1_F_HEA_R,IN,2029,0.4583
Globe,C1_F_HEA_R,IN,2030,0.4583
Globe,C1_F_HEA_R,IN,2031,0.4583
Globe,C1_F_HEA_R,IN,2032,0.4583
Globe,C1_F_HEA_R,IN,2033,0.4583
Globe,C1_F_HEA_R,IN,2034,0.4583
Globe,C1_F_HEA_R,IN,2035,0.4583
Globe,C1_F_HEA_R,IN,2036,0.4583
Globe,C1_F_HEA_R,IN,2037,0.4583
Globe,C1_F_HEA_R,IN,2038,0.4583
Globe,C1_F_HEA_R,IN,2039,0.4583
Globe,C1_F_HEA_R,IN,2040,0.4583
Globe,C1_F_HEA_R,IN,2041,0.4583
Globe,C1_F_HEA_R,IN,2042,0.4583
Globe,C1_F_HEA_R,IN,2043,0.4583
Globe,C1_F_HEA_R,IN,2044,0.4583
Globe,C1_F_HEA_R,IN,2045,0.4583
Globe,C1_F_HEA_R,IN,2046,0.4583
Globe,C1_F_HEA_R,IN,2047,0.4583
Globe,C1_F_HEA_R,IN,2048,0.4583
Globe,C1_F_HEA_R,IN,2049,0.4583
Globe,C1_F_HEA_R,IN,2050,0.4583
Globe,C1_F_HEA_R,IN,2051,0.4583
Globe,C1_F_HEA_R,IN,2052,0.4583
Globe,C1_F_HEA_R,IN,2053,0.4583
Globe,C1_F_HEA_R,IN,2054,0.4583
Globe,C1_F_HEA_R,IN,2055,0.4583
Globe,C1_F_HEA_R,IN,2056,0.4583
Globe,C1_F_HEA_R,IN,2057,0.4583
Globe,C1_F_HEA_R,IN,2058,0.4583
Globe,C1_F_HEA_R,IN,2059,0.4583
Globe,C1_F_HEA_R,IN,2060,0.4583
Globe,C1_F_HEA_R,IP,2010,0.0834
Globe,C1_F_HEA_R,IP,2011,0.0834
Globe,C1_F_HEA_R,IP,2012,0.0834
Globe,C1_F_HEA_R,IP,2013,0.0834
Globe,C1_F_HEA_R,IP,2014,0.0834
Globe,C1_F_HEA_R,IP,2015,0.0834
Globe,C1_F_HEA_R,IP,2016,0.0834
Globe,C1_F_HEA_R,IP,2017,0.0834
Globe,C1_F_HEA_R,IP,2018,0.0834
Globe,C1_F_HEA_R,IP,2019,0.0834
Globe,C1_F_HEA_R,IP,2020,0.0834
Globe,C1_F_HEA_R,IP,2021,0.0834
Globe,C1_F_HEA_R,IP,2022,0.0834
Globe,C1_F_HEA_R,IP,2023,0.0834
Globe,C1_F_HEA_R,IP,2024,0.0834
Globe,C1_F_HEA_R,IP,2025,0.0834
Globe,C1_F_HEA_R,IP,2026,0.0834
Globe,C1_F_HEA_R,IP,2027,0.0834
Globe,C1_F_HEA_R,IP,2028,0.0834
Globe,C1_F_HEA_R,IP,2029,0.0834
Globe,C1_F_HEA_R,IP,2030,0.0834
Globe,C1_F_HEA_R,IP,2031,0.0834
Globe,C1_F_HEA_R,IP,2032,0.0834
Globe,C1_F_HEA_R,IP,2033,0.0834
Globe,C1_F_HEA_R,IP,2034,0.0834
Globe,C1_F_HEA_R,IP,2035,0.0834
Globe,C1_F_HEA_R,IP,2036,0.0834
Globe,C1_F_HEA_R,IP,2037,0.0834
Globe,C1_F_HEA_R,IP,2038,0.0834
Globe,C1_F_HEA_R,IP,2039,0.0834
Globe,C1_F_HEA_R,IP,2040,0.0834
Globe,C1_F_HEA_R,IP,2041,0.0834
Globe,C1_F_HEA_R,IP,2042,0.0834
Globe,C1_F_HEA_R,IP,2043,0.0834
Globe,C1_F_HEA_R,IP,2044,0.0834
Globe,C1_F_HEA_R,IP,2045,0.0834
Globe,C1_F_HEA_R,IP,2046,0.0834
Globe,C1_F_HEA_R,IP,2047,0.0834
Globe,C1_F_HEA_R,IP,2048,0.0834
Globe,C1_F_HEA_R,IP,2049,0.0834
Globe,C1_F_HEA_R,IP,2050,0.0834
Globe,C1_F_HEA_R,IP,2051,0.0834
Globe,C1_F_HEA_R,IP,2052,0.0834
Globe,C1_F_HEA_R,IP,2053,0.0834
Globe,C1_F_HEA_R,IP,2054,0.0834
Globe,C1_F_HEA_R,IP,2055,0.0834
Globe,C1_F_HEA_R,IP,2056,0.0834
Globe,C1_F_HEA_R,IP,2057,0.0834
Globe,C1_F_HEA_R,IP,2058,0.0834
Globe,C1_F_HEA_R,IP,2059,0.0834
Globe,C1_F_HEA_R,IP,2060,0.0834
